[7/23/2026 10:33:55 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:34:50 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:37:11 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:38:37 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:39:20 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:43:13 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:43:51 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:44:19 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:45:52 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 10:58:35 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 11:08:42 AM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 12:43:16 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 12:43:17 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 12:51:05 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 1:57:51 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 1:58:31 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:05:46 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:06:20 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:07:54 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:27:05 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:27:06 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:27:40 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:29:22 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:29:52 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:38:54 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:38:54 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:38:57 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:39:00 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 2:44:56 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 3:00:57 PM] [INFO] received Windows console close event; shutting log-core down
[7/23/2026 3:03:34 PM] [INFO] received Windows console close event; shutting log-core down
